Statistic,Quarter,Area of Residence,UNIT,VALUE
Births Registered,2011Q2,Tipperary,Number,
Births Registered,2011Q2,Connacht,Number,2027
Births Registered,2011Q2,Galway City,Number,289
Births Registered,2011Q2,Leitrim,Number,123
Births Registered,2011Q2,Mayo,Number,466
Births Registered,2011Q2,Roscommon,Number,212
Births Registered,2011Q2,Sligo,Number,223
Births Registered,2011Q2,Galway County,Number,714
Births Registered,2011Q2,Ulster (pt),Number,1167
Births Registered,2011Q2,Cavan,Number,361
Births Registered,2011Q2,Donegal,Number,561
Births Registered,2011Q2,Monaghan,Number,245
Births Registered,2011Q2,Outside the State,Number,
Births Registered,2011Q3,State,Number,19222
Births Registered,2011Q3,Dublin City,Number,2039
Births Registered,2011Q3,Fingal,Number,1474
Births Registered,2011Q3,Dun Laoghaire Rathdown,Number,708
Births Registered,2011Q3,South Dublin,Number,1307
Births Registered,2011Q3,Leinster,Number,10949
Births Registered,2011Q3,Wicklow,Number,532
Births Registered,2011Q3,Carlow,Number,238
Births Registered,2011Q3,Kildare,Number,996
Births Registered,2011Q3,Kilkenny,Number,390
Births Registered,2011Q3,Laois,Number,333
Births Registered,2011Q3,Longford,Number,171
Births Registered,2011Q3,Louth,Number,499
Births Registered,2011Q3,Meath,Number,936
Births Registered,2011Q3,Offaly,Number,355
Births Registered,2011Q3,Westmeath,Number,348
Births Registered,2011Q3,Wexford,Number,623
Births Registered,2011Q3,Munster,Number,5101
Births Registered,2011Q3,Waterford County,Number,257
Births Registered,2011Q3,Waterford City,Number,228
Births Registered,2011Q3,Clare,Number,466
Births Registered,2011Q3,Cork City,Number,409
Births Registered,2011Q3,Cork County,Number,1725
Births Registered,2011Q3,Kerry,Number,502
Births Registered,2011Q3,Limerick City,Number,196
Births Registered,2011Q3,Limerick County,Number,614
Births Registered,2011Q3,North Tipperary,Number,352
Births Registered,2011Q3,South Tipperary,Number,352
Births Registered,2011Q3,Tipperary,Number,
Births Registered,2011Q3,Connacht,Number,2026
Births Registered,2011Q3,Galway City,Number,270
Births Registered,2011Q3,Leitrim,Number,106
Births Registered,2011Q3,Mayo,Number,426
Births Registered,2011Q3,Roscommon,Number,223
Births Registered,2011Q3,Sligo,Number,242
Births Registered,2011Q3,Galway County,Number,759
Births Registered,2011Q3,Ulster (pt),Number,1146
Births Registered,2011Q3,Cavan,Number,348
Births Registered,2011Q3,Donegal,Number,554
Births Registered,2011Q3,Monaghan,Number,244
Births Registered,2011Q3,Outside the State,Number,
Births Registered,2011Q4,State,Number,17097
Births Registered,2011Q4,Dublin City,Number,1948
Births Registered,2011Q4,Fingal,Number,1286
Births Registered,2011Q4,Dun Laoghaire Rathdown,Number,667
Births Registered,2011Q4,South Dublin,Number,1238
Births Registered,2011Q4,Leinster,Number,9873
Births Registered,2011Q4,Wicklow,Number,583
Births Registered,2011Q4,Carlow,Number,220
Births Registered,2011Q4,Kildare,Number,864
Births Registered,2011Q4,Kilkenny,Number,325
Births Registered,2011Q4,Laois,Number,302
Births Registered,2011Q4,Longford,Number,133
Births Registered,2011Q4,Louth,Number,417
Births Registered,2011Q4,Meath,Number,788
Births Registered,2011Q4,Offaly,Number,269
Births Registered,2011Q4,Westmeath,Number,326
Births Registered,2011Q4,Wexford,Number,507
Births Registered,2011Q4,Munster,Number,4388
Births Registered,2011Q4,Waterford County,Number,222
Births Registered,2011Q4,Waterford City,Number,181
Births Registered,2011Q4,Clare,Number,422
Births Registered,2011Q4,Cork City,Number,344
Births Registered,2011Q4,Cork County,Number,1521
Births Registered,2011Q4,Kerry,Number,450
Births Registered,2011Q4,Limerick City,Number,179
