"Statistic","Year","County","Sex","UNIT","VALUE"
"Mean Weekly Earnings","2015","Offaly","Male","Euro","682.37"
"Mean Weekly Earnings","2015","Offaly","Female","Euro","544.87"
"Mean Weekly Earnings","2015","Westmeath","Both sexes","Euro","641.88"
"Mean Weekly Earnings","2015","Westmeath","Male","Euro","716.11"
"Mean Weekly Earnings","2015","Westmeath","Female","Euro","568.98"
"Mean Weekly Earnings","2015","Wexford","Both sexes","Euro","575.83"
"Mean Weekly Earnings","2015","Wexford","Male","Euro","644.74"
"Mean Weekly Earnings","2015","Wexford","Female","Euro","511.95"
"Mean Weekly Earnings","2015","Wicklow","Both sexes","Euro","708.93"
"Mean Weekly Earnings","2015","Wicklow","Male","Euro","835.2"
"Mean Weekly Earnings","2015","Wicklow","Female","Euro","590.82"
"Mean Weekly Earnings","2015","Clare","Both sexes","Euro","662.1"
"Mean Weekly Earnings","2015","Clare","Male","Euro","766.87"
"Mean Weekly Earnings","2015","Clare","Female","Euro","569.03"
"Mean Weekly Earnings","2015","Cork","Both sexes","Euro","685.2"
"Mean Weekly Earnings","2015","Cork","Male","Euro","798.46"
"Mean Weekly Earnings","2015","Cork","Female","Euro","574.64"
"Mean Weekly Earnings","2015","Kerry","Both sexes","Euro","584.44"
"Mean Weekly Earnings","2015","Kerry","Male","Euro","662.28"
"Mean Weekly Earnings","2015","Kerry","Female","Euro","516.12"
"Mean Weekly Earnings","2015","Limerick","Both sexes","Euro","664.81"
"Mean Weekly Earnings","2015","Limerick","Male","Euro","760.46"
"Mean Weekly Earnings","2015","Limerick","Female","Euro","569.32"
"Mean Weekly Earnings","2015","Tipperary","Both sexes","Euro","623.28"
"Mean Weekly Earnings","2015","Tipperary","Male","Euro","704.4"
"Mean Weekly Earnings","2015","Tipperary","Female","Euro","548.29"
"Mean Weekly Earnings","2015","Waterford","Both sexes","Euro","626.4"
"Mean Weekly Earnings","2015","Waterford","Male","Euro","720.82"
"Mean Weekly Earnings","2015","Waterford","Female","Euro","536.75"
"Mean Weekly Earnings","2015","Galway","Both sexes","Euro","654.24"
"Mean Weekly Earnings","2015","Galway","Male","Euro","733.33"
"Mean Weekly Earnings","2015","Galway","Female","Euro","583.83"
"Mean Weekly Earnings","2015","Leitrim","Both sexes","Euro","593.79"
"Mean Weekly Earnings","2015","Leitrim","Male","Euro","646.11"
"Mean Weekly Earnings","2015","Leitrim","Female","Euro","550.74"
"Mean Weekly Earnings","2015","Mayo","Both sexes","Euro","594.77"
"Mean Weekly Earnings","2015","Mayo","Male","Euro","659.72"
"Mean Weekly Earnings","2015","Mayo","Female","Euro","538.08"
"Mean Weekly Earnings","2015","Roscommon","Both sexes","Euro","615.94"
"Mean Weekly Earnings","2015","Roscommon","Male","Euro","675.79"
"Mean Weekly Earnings","2015","Roscommon","Female","Euro","563.02"
"Mean Weekly Earnings","2015","Sligo","Both sexes","Euro","624.91"
"Mean Weekly Earnings","2015","Sligo","Male","Euro","687.26"
"Mean Weekly Earnings","2015","Sligo","Female","Euro","572.23"
"Mean Weekly Earnings","2015","Cavan","Both sexes","Euro","597.69"
"Mean Weekly Earnings","2015","Cavan","Male","Euro","662.71"
"Mean Weekly Earnings","2015","Cavan","Female","Euro","535.12"
"Mean Weekly Earnings","2015","Donegal","Both sexes","Euro","530.86"
"Mean Weekly Earnings","2015","Donegal","Male","Euro","576.24"
"Mean Weekly Earnings","2015","Donegal","Female","Euro","490.79"
"Mean Weekly Earnings","2015","Monaghan","Both sexes","Euro","555.24"
"Mean Weekly Earnings","2015","Monaghan","Male","Euro","595.2"
"Mean Weekly Earnings","2015","Monaghan","Female","Euro","516.9"
"Mean Weekly Earnings","2016","All counties (1)","Both sexes","Euro","697.64"
